国,クリック数,表示回数,CTR,掲載順位
日本,156,4211,3.7%,18.62
米国,3,1440,0.21%,13.06
インドネシア,1,47,2.13%,13.26
ドイツ,1,20,5%,9.45
シンガポール,1,17,5.88%,6.12
デンマーク,1,5,20%,6
イギリス,0,261,0%,10.78
韓国,0,126,0%,5.91
カナダ,0,75,0%,11.4
インド,0,70,0%,17.16
フィリピン,0,53,0%,21.42
ブラジル,0,40,0%,10.5
ベトナム,0,36,0%,11.36
スペイン,0,36,0%,18.75
タイ,0,30,0%,22.67
オランダ,0,26,0%,7.08
イタリア,0,25,0%,19.32
マレーシア,0,24,0%,22.04
バングラディッシュ,0,23,0%,9.39
フランス,0,22,0%,5.45
トルコ,0,15,0%,19.93
エジプト,0,14,0%,26.43
メキシコ,0,13,0%,5.69
オーストラリア,0,13,0%,8.62
ポルトガル,0,13,0%,13.46
アルゼンチン,0,12,0%,10.33
パキスタン,0,11,0%,11
コロンビア,0,11,0%,17
南アフリカ,0,11,0%,25.45
台湾,0,10,0%,6.3
サウジアラビア,0,10,0%,24.5
中国,0,9,0%,7.44
ポーランド,0,9,0%,9.44
トリニダード・トバゴ,0,9,0%,17.89
エクアドル,0,9,0%,20.78
アルジェリア,0,9,0%,21.67
スリランカ,0,7,0%,8.43
ジャマイカ,0,6,0%,8.5
イラク,0,6,0%,10
ナイジェリア,0,6,0%,13.67
スウェーデン,0,6,0%,14
ルーマニア,0,5,0%,6.2
フィンランド,0,5,0%,7.6
ベルギー,0,5,0%,7.8
ハンガリー,0,5,0%,8.2
ベネズエラ,0,5,0%,12.6
ニュージーランド,0,4,0%,6
イスラエル,0,4,0%,8.75
ウクライナ,0,3,0%,5
アゼルバイジャン,0,3,0%,6
バルバドス,0,3,0%,6.33
ベラルーシ,0,3,0%,7.33
アラブ首長国連邦,0,3,0%,7.67
キルギス,0,3,0%,7.67
カザフスタン,0,3,0%,8
ノルウェー,0,3,0%,8
香港,0,3,0%,9.67
モロッコ,0,3,0%,10.33
クロアチア,0,3,0%,15.67
スロバキア,0,3,0%,19
オマーン,0,3,0%,22.33
キプロス,0,3,0%,22.67
チリ,0,3,0%,25
セルビア,0,3,0%,35
ネパール,0,2,0%,2
モルドバ,0,2,0%,3
バハマ,0,2,0%,3.5
マルタ,0,2,0%,5
ミャンマー（ビルマ）,0,2,0%,5
アルバニア,0,2,0%,5.5
ケニア,0,2,0%,5.5
アルメニア,0,2,0%,6
カンボジア,0,2,0%,6.5
モンゴル,0,2,0%,11.5
チェキア,0,2,0%,12.5
アイルランド,0,2,0%,23
ボリビア,0,1,0%,1
ヨルダン,0,1,0%,1
チュニジア,0,1,0%,2
リビア,0,1,0%,3
ベリーズ,0,1,0%,4
バミューダ,0,1,0%,4
ブルネイ,0,1,0%,4
グルジア,0,1,0%,4
ウズベキスタン,0,1,0%,4
ガーナ,0,1,0%,5
ボスニア・ヘルツェゴビナ,0,1,0%,6
カボベルデ,0,1,0%,6
ギリシャ,0,1,0%,6
ロシア,0,1,0%,6
ウルグアイ,0,1,0%,6
ブルガリア,0,1,0%,7
エチオピア,0,1,0%,7
タークス・カイコス諸島,0,1,0%,7
ドミニカ,0,1,0%,8
グァテマラ,0,1,0%,8
セントクリストファー・ネイビス,0,1,0%,8
パレスチナ,0,1,0%,8
ガイアナ,0,1,0%,9
オーストリア,0,1,0%,10
プエルトリコ,0,1,0%,10
シリア,0,1,0%,10
モザンビーク,0,1,0%,11
ペルー,0,1,0%,11
レバノン,0,1,0%,19
クウェート,0,1,0%,22
グレナダ,0,1,0%,41
