国,クリック数,表示回数,CTR,掲載順位
日本,232,7581,3.06%,13.92
米国,7,18658,0.04%,7.18
イギリス,3,194,1.55%,13.23
カナダ,2,103,1.94%,8.68
シンガポール,2,94,2.13%,19.49
サウジアラビア,2,15,13.33%,6.2
ドイツ,1,59,1.69%,8.29
インドネシア,1,49,2.04%,7.98
台湾,1,47,2.13%,6.72
タイ,1,40,2.5%,8.28
ロシア,1,21,4.76%,7.62
香港,1,14,7.14%,8.07
ノルウェー,1,14,7.14%,9.36
カザフスタン,1,8,12.5%,6.75
ルワンダ,1,4,25%,5.25
韓国,0,270,0%,6.15
インド,0,122,0%,12.35
ブラジル,0,109,0%,7.78
フランス,0,68,0%,6.34
フィリピン,0,58,0%,7.05
オランダ,0,56,0%,6.8
オーストラリア,0,49,0%,16.43
スペイン,0,48,0%,6.56
イタリア,0,43,0%,12.72
中国,0,38,0%,5.55
トルコ,0,35,0%,7.09
メキシコ,0,34,0%,7.26
マレーシア,0,34,0%,7.53
ベルギー,0,30,0%,7.07
ベトナム,0,26,0%,7.54
アルゼンチン,0,24,0%,7.17
ポーランド,0,18,0%,10.06
イラク,0,17,0%,13.12
ポルトガル,0,16,0%,6.69
アイルランド,0,16,0%,7.06
バングラディッシュ,0,16,0%,11.06
イスラエル,0,14,0%,6.43
スイス連邦,0,14,0%,7.43
デンマーク,0,14,0%,8
南アフリカ,0,13,0%,6.46
ハンガリー,0,13,0%,8.15
ペルー,0,12,0%,7
フィンランド,0,11,0%,5.73
オーストリア,0,11,0%,6.45
エジプト,0,11,0%,6.64
モロッコ,0,11,0%,11.64
セイシェル,0,10,0%,5.9
ウクライナ,0,10,0%,7
スウェーデン,0,10,0%,7.3
コロンビア,0,10,0%,7.5
ケニア,0,10,0%,12.9
ギリシャ,0,9,0%,5.78
アラブ首長国連邦,0,9,0%,5.89
ルーマニア,0,9,0%,6.44
チェキア,0,9,0%,8.56
エクアドル,0,9,0%,10.67
パキスタン,0,9,0%,20.78
アルジェリア,0,7,0%,21.29
ヨルダン,0,6,0%,6
カタール,0,6,0%,7.33
イラン,0,6,0%,7.5
チリ,0,6,0%,9.17
ブルガリア,0,6,0%,10.67
アルメニア,0,6,0%,13
ネパール,0,6,0%,13.5
クロアチア,0,5,0%,6.6
リトアニア,0,5,0%,7
セルビア,0,5,0%,8.8
クウェート,0,5,0%,12.8
ニュージーランド,0,5,0%,13.8
ウズベキスタン,0,5,0%,19
ラトビア,0,4,0%,4.75
ベネズエラ,0,4,0%,6.5
ドミニカ,0,4,0%,14.5
レバノン,0,4,0%,15
パラグアイ,0,3,0%,3.33
ボリビア,0,3,0%,6.67
ナイジェリア,0,3,0%,8
パレスチナ,0,3,0%,8.67
トリニダード・トバゴ,0,3,0%,9.33
ジャマイカ,0,3,0%,9.67
チュニジア,0,3,0%,11.67
キルギス,0,3,0%,15.67
カンボジア,0,3,0%,18.33
エチオピア,0,2,0%,3.5
イエメン,0,2,0%,4
コスタリカ,0,2,0%,4.5
ウガンダ,0,2,0%,6.5
スロバキア,0,2,0%,7
グルジア,0,2,0%,7.5
ガーナ,0,2,0%,7.5
ウルグアイ,0,2,0%,7.5
モルディブ,0,2,0%,8.5
スロベニア,0,2,0%,9
ホンジュラス,0,2,0%,9.5
オマーン,0,2,0%,9.5
エストニア,0,2,0%,12
ガイアナ,0,2,0%,21
アルバニア,0,1,0%,1
シリア,0,1,0%,3
プエルトリコ,0,1,0%,4
セネガル,0,1,0%,4
ブルキナファソ,0,1,0%,5
マダガスカル,0,1,0%,5
モーリシャス,0,1,0%,5
シェラレオネ,0,1,0%,5
バルバドス,0,1,0%,6
ジャージー,0,1,0%,6
リビア,0,1,0%,6
スリランカ,0,1,0%,6
ジンバブエ,0,1,0%,6
アゼルバイジャン,0,1,0%,8
ボスニア・ヘルツェゴビナ,0,1,0%,8
キプロス,0,1,0%,8
モルドバ,0,1,0%,8
レユニオン,0,1,0%,8
アイスランド,0,1,0%,9
ルクセンブルグ,0,1,0%,9
ボツワナ,0,1,0%,10
ベラルーシ,0,1,0%,12
クック諸島,0,1,0%,12
モンゴル,0,1,0%,12
アンゴラ,0,1,0%,18
