old_path,zenki_clicks,zenki_impressions,proposed_redirect_target,status
/posts/bouon-price-souba/,8,819,,NEEDS_MANUAL_REVIEW
/posts/bouon-dchiseinou-meyasu/,14,694,/ja/soundproof-room/bouon-dchiseinou-meyasu/,AUTO_MATCH
/posts/streamer-proofroom-setting/,12,604,,NEEDS_MANUAL_REVIEW
/posts/vtuber-proofroom-knowledge/,3,577,,NEEDS_MANUAL_REVIEW
/posts/proofroom-humidity-airconditionlist/,8,436,/ja/soundproof-room/proofroom-humidity-airconditionlist/,AUTO_MATCH
/posts/gamesteram-proofroom-soudflash/,7,279,,NEEDS_MANUAL_REVIEW
/posts/bouon-kanki-taisaku/,4,274,,NEEDS_MANUAL_REVIEW
/posts/bouonroom-tettei-kaisetsu/,2,263,,NEEDS_MANUAL_REVIEW
/posts/million-yen-soundproof-room-professional/,11,253,/ja/soundproof-room/million-yen-soundproof-room-professional/,AUTO_MATCH
/posts/bouon-size-choice/,9,229,/ja/soundproof-room/bouon-size-choice/,AUTO_MATCH
/posts/bouon-setti-checkpoint/,5,214,/ja/soundproof-room/bouon-setti-checkpoint/,AUTO_MATCH
/posts/one-room-streaming-soundproof/,4,204,/ja/creator/one-room-streaming-soundproof/,AUTO_MATCH
/posts/bouonrental-market-research2025/,11,198,/ja/soundproof-rental/bouonrental-market-research2025/,AUTO_MATCH
/posts/ontouch-soundproof-panel-effective/,5,140,,NEEDS_MANUAL_REVIEW
/posts/proofroom-aircondition-select/,2,132,/ja/soundproof-room/proofroom-aircondition-select/,AUTO_MATCH
/posts/steram-soudncondition-check/,3,119,,NEEDS_MANUAL_REVIEW
/posts/apartment-soundproof-room-floor-weight/,2,107,,NEEDS_MANUAL_REVIEW
/posts/bourentakl-streamer-settingsetubi/,3,101,/ja/creator/bourentakl-streamer-settingsetubi/,AUTO_MATCH
/posts/proofroom-soudmore-manual/,2,101,/ja/soundproof-room/proofroom-soudmore-manual/,AUTO_MATCH
/posts/bourental-ippanrantal/,2,100,,NEEDS_MANUAL_REVIEW
/posts/shared-streaming-studio-growth-pricing-utilization/,4,97,/ja/business/shared-streaming-studio-growth-pricing-utilization/,AUTO_MATCH
/posts/bouontech-trendnews2025/,5,77,,NEEDS_MANUAL_REVIEW
/posts/streamer-lowbudget-simula/,3,77,,NEEDS_MANUAL_REVIEW
/posts/music-school-area-soundproof-rental-competition/,2,66,,NEEDS_MANUAL_REVIEW
/posts/budget-soundproof-booth-comparison/,3,50,/ja/soundproof-room/budget-soundproof-booth-comparison/,AUTO_MATCH
/posts/soundproof-rental-market-october-2025/,4,36,,NEEDS_MANUAL_REVIEW
/posts/treadmill-apartment-soundproofing-layering/,2,28,/ja/diy/treadmill-apartment-soundproofing-layering/,AUTO_MATCH
/posts/kawai-nasal-soundproof-room-guide/,2,26,/ja/soundproof-room/kawai-nasal-soundproof-room-guide/,AUTO_MATCH
/posts/otodasu-reviews-2026/,2,18,,NEEDS_MANUAL_REVIEW
/posts/rental-telework-soundproof-floor/,3,15,,NEEDS_MANUAL_REVIEW
/posts/soundproof-performance-drum/,2,13,/ja/soundproof-room/soundproof-performance-drum/,AUTO_MATCH
/posts/podcast-bouonproof-bestpracti/,2,12,,NEEDS_MANUAL_REVIEW
