--- TOP 20 IMPRESSIONS ---
livestream soundproof: Imp=251, Clicks=0, CTR=0.0%, Pos=22.5
防音室 ハウスメーカー おすすめ: Imp=173, Clicks=0, CTR=0.0%, Pos=23.4
防音室 値段: Imp=153, Clicks=2, CTR=1.3%, Pos=57.2
how much does it cost to soundproof a room: Imp=143, Clicks=0, CTR=0.0%, Pos=66.7
一戸建て 騒音苦情: Imp=114, Clicks=0, CTR=0.0%, Pos=29.1
防音室 加湿器: Imp=107, Clicks=20, CTR=18.7%, Pos=4.3
vtuber 防音室 トレンド 2026: Imp=96, Clicks=0, CTR=0.0%, Pos=1.2
防音室 100万: Imp=88, Clicks=0, CTR=0.0%, Pos=22.3
japan building code news: Imp=86, Clicks=0, CTR=0.0%, Pos=2.6
グランド ループ 対策: Imp=82, Clicks=0, CTR=0.0%, Pos=46.1
日本の防音市場: Imp=70, Clicks=0, CTR=0.0%, Pos=30.0
グランド ループ ノイズ 対策: Imp=69, Clicks=0, CTR=0.0%, Pos=49.6
アース ノイズ 対策: Imp=69, Clicks=0, CTR=0.0%, Pos=67.7
アース 線 ノイズ 対策: Imp=68, Clicks=0, CTR=0.0%, Pos=67.7
ノイズ アース 線: Imp=66, Clicks=0, CTR=0.0%, Pos=60.8
防音 室 値段: Imp=64, Clicks=0, CTR=0.0%, Pos=56.7
ノイズ 対策 アース: Imp=63, Clicks=0, CTR=0.0%, Pos=76.1
賃貸 防音室 許可: Imp=61, Clicks=1, CTR=1.6%, Pos=15.3
一人暮らし 配信 防音: Imp=61, Clicks=0, CTR=0.0%, Pos=11.4
接地 ノイズ 対策: Imp=58, Clicks=0, CTR=0.0%, Pos=76.1

--- OPPORTUNITIES (High Imp, Low CTR) ---
livestream soundproof: Imp=251, Clicks=0, CTR=0.0%, Pos=22.5
防音室 ハウスメーカー おすすめ: Imp=173, Clicks=0, CTR=0.0%, Pos=23.4
防音室 値段: Imp=153, Clicks=2, CTR=1.3%, Pos=57.2
how much does it cost to soundproof a room: Imp=143, Clicks=0, CTR=0.0%, Pos=66.7
一戸建て 騒音苦情: Imp=114, Clicks=0, CTR=0.0%, Pos=29.1
vtuber 防音室 トレンド 2026: Imp=96, Clicks=0, CTR=0.0%, Pos=1.2
防音室 100万: Imp=88, Clicks=0, CTR=0.0%, Pos=22.3
japan building code news: Imp=86, Clicks=0, CTR=0.0%, Pos=2.6
グランド ループ 対策: Imp=82, Clicks=0, CTR=0.0%, Pos=46.1
日本の防音市場: Imp=70, Clicks=0, CTR=0.0%, Pos=30.0
グランド ループ ノイズ 対策: Imp=69, Clicks=0, CTR=0.0%, Pos=49.6
アース ノイズ 対策: Imp=69, Clicks=0, CTR=0.0%, Pos=67.7
アース 線 ノイズ 対策: Imp=68, Clicks=0, CTR=0.0%, Pos=67.7
ノイズ アース 線: Imp=66, Clicks=0, CTR=0.0%, Pos=60.8
防音 室 値段: Imp=64, Clicks=0, CTR=0.0%, Pos=56.7
ノイズ 対策 アース: Imp=63, Clicks=0, CTR=0.0%, Pos=76.1
賃貸 防音室 許可: Imp=61, Clicks=1, CTR=1.6%, Pos=15.3
一人暮らし 配信 防音: Imp=61, Clicks=0, CTR=0.0%, Pos=11.4
接地 ノイズ 対策: Imp=58, Clicks=0, CTR=0.0%, Pos=76.1
防音室 許可: Imp=58, Clicks=0, CTR=0.0%, Pos=21.1

--- NICHE WINNERS (High CTR) ---
防音室 加湿器: Imp=107, Clicks=20, CTR=18.7%, Pos=4.3
