"No"	"区分"	"単語数"	"キーワード"	"SEO難易度"	"月間検索数"	"CPC ($)"	"競合性"	"出現時期"
"1"	"＋"	"1"	"防音賃貸"	"null"	"null"	"null"	"null"	"null"
"2"	"＋"	"2"	"防音賃貸 東京"	"null"	"null"	"null"	"null"	"null"
"3"	"＋"	"1"	"防音賃貸マンション"	"null"	"null"	"null"	"null"	"null"
"4"	"＋"	"2"	"防音賃貸 一人暮らし"	"null"	"null"	"null"	"null"	"null"
"5"	"＋"	"2"	"防音賃貸 安い"	"null"	"null"	"null"	"null"	"null"
"6"	"＋"	"2"	"防音賃貸 埼玉"	"null"	"null"	"null"	"null"	"null"
"7"	"＋"	"2"	"防音賃貸 千葉"	"null"	"null"	"null"	"null"	"null"
"8"	"＋"	"2"	"防音賃貸 神奈川"	"null"	"null"	"null"	"null"	"null"
"9"	"＋"	"2"	"防音賃貸 大阪"	"null"	"null"	"null"	"null"	"null"
"10"	"＋"	"1"	"防音賃貸ドットコム"	"null"	"null"	"null"	"null"	"null"
"11"	"＋"	"2"	"防音賃貸 関東"	"null"	"null"	"null"	"null"	"null"
"12"	"＋"	"2"	"防音賃貸 横浜"	"null"	"null"	"null"	"null"	"null"
"13"	"＋"	"2"	"防音賃貸 相場"	"null"	"null"	"null"	"null"	"null"
"14"	"＋＋"	"3"	"防音賃貸 東京 安い"	"null"	"null"	"null"	"null"	"null"
"15"	"＋＋"	"3"	"防音賃貸 東京 2ldk"	"null"	"null"	"null"	"null"	"null"
"16"	"＋＋"	"3"	"防音賃貸 東京 1ldk"	"null"	"null"	"null"	"null"	"null"
"17"	"＋＋"	"3"	"防音賃貸 東京 相場"	"null"	"null"	"null"	"null"	"null"
"18"	"＋＋"	"3"	"防音賃貸 東京 24時間"	"null"	"null"	"null"	"null"	"null"
"19"	"＋＋"	"3"	"防音賃貸 一人暮らし 東京"	"null"	"null"	"null"	"null"	"null"
"20"	"＋＋"	"2"	"東京都 防音賃貸"	"null"	"null"	"null"	"null"	"null"
"21"	"＋＋"	"2"	"東京23区 防音賃貸"	"null"	"null"	"null"	"null"	"null"
"22"	"＋＋"	"2"	"防音賃貸マンション 東京"	"null"	"null"	"null"	"null"	"null"
"23"	"＋＋"	"1"	"防音賃貸マンション「ミュージション」人気上昇中"	"null"	"null"	"null"	"null"	"null"
"24"	"＋＋"	"2"	"防音賃貸マンション 大阪"	"null"	"null"	"null"	"null"	"null"
"25"	"＋＋"	"2"	"防音賃貸マンション 福岡"	"null"	"null"	"null"	"null"	"null"
"26"	"＋＋"	"2"	"防音賃貸マンション ラシクラス"	"null"	"null"	"null"	"null"	"null"
"27"	"＋＋"	"2"	"防音賃貸マンション 所沢"	"null"	"null"	"null"	"null"	"null"
"28"	"＋＋"	"3"	"防音賃貸 一人暮らし 横浜"	"null"	"null"	"null"	"null"	"null"
"29"	"＋＋"	"3"	"防音賃貸 一人暮らし 千葉"	"null"	"null"	"null"	"null"	"null"
"30"	"＋＋"	"3"	"防音賃貸 一人暮らし 埼玉"	"null"	"null"	"null"	"null"	"null"
"31"	"＋＋"	"3"	"防音賃貸 安い 神奈川"	"null"	"null"	"null"	"null"	"null"
"32"	"＋＋"	"3"	"防音賃貸 安い 東京"	"null"	"null"	"null"	"null"	"null"
