"No"	"区分"	"単語数"	"キーワード"	"SEO難易度"	"月間検索数"	"CPC ($)"	"競合性"	"出現時期"
"1"	"＋"	"1"	"防音室"	"null"	"null"	"null"	"null"	"null"
"2"	"＋"	"2"	"防音室 自作"	"null"	"null"	"null"	"null"	"null"
"3"	"＋"	"2"	"防音室 賃貸"	"null"	"null"	"null"	"null"	"null"
"4"	"＋"	"2"	"防音室 レンタル"	"null"	"null"	"null"	"null"	"null"
"5"	"＋"	"2"	"防音室 値段"	"null"	"null"	"null"	"null"	"null"
"6"	"＋"	"2"	"防音室 組み立て式"	"null"	"null"	"null"	"null"	"null"
"7"	"＋"	"2"	"防音室 中古"	"null"	"null"	"null"	"null"	"null"
"8"	"＋"	"2"	"防音室 自宅"	"null"	"null"	"null"	"null"	"null"
"9"	"＋"	"2"	"防音室 ヤマハ"	"null"	"null"	"null"	"null"	"null"
"10"	"＋"	"2"	"防音室付き 賃貸"	"null"	"null"	"null"	"null"	"null"
"11"	"＋"	"2"	"防音室 ゲーム"	"null"	"null"	"null"	"null"	"null"
"12"	"＋"	"2"	"防音室 diy"	"null"	"null"	"null"	"null"	"null"
"13"	"＋＋"	"3"	"防音室 自作 賃貸"	"null"	"null"	"null"	"null"	"null"
"14"	"＋＋"	"3"	"防音室 自作 ダンボール"	"null"	"null"	"null"	"null"	"null"
"15"	"＋＋"	"3"	"防音室 自作 失敗"	"null"	"null"	"null"	"null"	"null"
"16"	"＋＋"	"3"	"防音室 自作 簡単"	"null"	"null"	"null"	"null"	"null"
"17"	"＋＋"	"3"	"防音室 自作 壁"	"null"	"null"	"null"	"null"	"null"
"18"	"＋＋"	"3"	"防音室 自作 ゲーム"	"null"	"null"	"null"	"null"	"null"
"19"	"＋＋"	"3"	"防音室 自作 1畳"	"null"	"null"	"null"	"null"	"null"
"20"	"＋＋"	"3"	"防音室 自作 費用"	"null"	"null"	"null"	"null"	"null"
"21"	"＋＋"	"3"	"防音室 自作 楽器"	"null"	"null"	"null"	"null"	"null"
"22"	"＋＋"	"3"	"防音室 賃貸 東京"	"null"	"null"	"null"	"null"	"null"
"23"	"＋＋"	"3"	"防音室 賃貸 設置"	"null"	"null"	"null"	"null"	"null"
"24"	"＋＋"	"3"	"防音室 賃貸 大阪"	"null"	"null"	"null"	"null"	"null"
"25"	"＋＋"	"3"	"防音室 賃貸 diy"	"null"	"null"	"null"	"null"	"null"
"26"	"＋＋"	"3"	"防音室 賃貸 神奈川"	"null"	"null"	"null"	"null"	"null"
"27"	"＋＋"	"3"	"防音室 賃貸 関西"	"null"	"null"	"null"	"null"	"null"
"28"	"＋＋"	"3"	"防音室 賃貸 埼玉"	"null"	"null"	"null"	"null"	"null"
"29"	"＋＋"	"3"	"防音室 賃貸 ヤマハ"	"null"	"null"	"null"	"null"	"null"
"30"	"＋＋"	"3"	"防音室 賃貸 千葉"	"null"	"null"	"null"	"null"	"null"
"31"	"＋＋"	"2"	"防音室 レンタルスペース"	"null"	"null"	"null"	"null"	"null"
"32"	"＋＋"	"3"	"防音室 レンタル 月額"	"null"	"null"	"null"	"null"	"null"
"33"	"＋＋"	"3"	"防音室 レンタル ヤマハ"	"null"	"null"	"null"	"null"	"null"
"34"	"＋＋"	"3"	"防音室 レンタル 賃貸"	"null"	"null"	"null"	"null"	"null"
"35"	"＋＋"	"3"	"防音室 レンタル 大阪"	"null"	"null"	"null"	"null"	"null"
"36"	"＋＋"	"3"	"防音室 レンタル ゲーム"	"null"	"null"	"null"	"null"	"null"
"37"	"＋＋"	"2"	"防音室 レンタルルーム"	"null"	"null"	"null"	"null"	"null"
"38"	"＋＋"	"3"	"防音室 レンタル 配信"	"null"	"null"	"null"	"null"	"null"
"39"	"＋＋"	"3"	"防音室 レンタル 福岡"	"null"	"null"	"null"	"null"	"null"
"40"	"＋＋"	"3"	"防音室 値段 1畳"	"null"	"null"	"null"	"null"	"null"
"41"	"＋＋"	"3"	"防音室 値段 2畳"	"null"	"null"	"null"	"null"	"null"
"42"	"＋＋"	"3"	"防音室 値段 安い"	"null"	"null"	"null"	"null"	"null"
"43"	"＋＋"	"3"	"防音室 値段 ピアノ"	"null"	"null"	"null"	"null"	"null"
"44"	"＋＋"	"3"	"防音室 値段 組み立て"	"null"	"null"	"null"	"null"	"null"
"45"	"＋＋"	"3"	"防音室 値段 ドラム"	"null"	"null"	"null"	"null"	"null"
"46"	"＋＋"	"3"	"防音室 値段 3畳"	"null"	"null"	"null"	"null"	"null"
"47"	"＋＋"	"3"	"防音室 値段 賃貸"	"null"	"null"	"null"	"null"	"null"
"48"	"＋＋"	"3"	"防音室 値段 配信"	"null"	"null"	"null"	"null"	"null"
"49"	"＋＋"	"3"	"防音室 組み立て式 おすすめ"	"null"	"null"	"null"	"null"	"null"
"50"	"＋＋"	"3"	"防音室 組み立て式 ゲーム"	"null"	"null"	"null"	"null"	"null"
"51"	"＋＋"	"3"	"防音室 組み立て式 楽器"	"null"	"null"	"null"	"null"	"null"
"52"	"＋＋"	"3"	"防音室 組み立て式 値段"	"null"	"null"	"null"	"null"	"null"
"53"	"＋＋"	"3"	"防音室 組み立て式 広い"	"null"	"null"	"null"	"null"	"null"
"54"	"＋＋"	"3"	"防音室 組み立て式 ピアノ"	"null"	"null"	"null"	"null"	"null"
"55"	"＋＋"	"3"	"防音室 組み立て式 賃貸"	"null"	"null"	"null"	"null"	"null"
"56"	"＋＋"	"3"	"防音室 組み立て式 配信"	"null"	"null"	"null"	"null"	"null"
"57"	"＋＋"	"3"	"防音室 組み立て式 中古"	"null"	"null"	"null"	"null"	"null"
"58"	"＋＋"	"2"	"防音室 中古マンション"	"null"	"null"	"null"	"null"	"null"
"59"	"＋＋"	"2"	"防音室 中古戸建"	"null"	"null"	"null"	"null"	"null"
"60"	"＋＋"	"3"	"防音室 中古 2畳"	"null"	"null"	"null"	"null"	"null"
"61"	"＋＋"	"3"	"防音室 中古 激安"	"null"	"null"	"null"	"null"	"null"
"62"	"＋＋"	"3"	"防音室 中古 3畳"	"null"	"null"	"null"	"null"	"null"
"63"	"＋＋"	"2"	"防音室 中古物件"	"null"	"null"	"null"	"null"	"null"
"64"	"＋＋"	"3"	"防音室 中古 メルカリ"	"null"	"null"	"null"	"null"	"null"
"65"	"＋＋"	"3"	"防音室 中古 ヤマハ"	"null"	"null"	"null"	"null"	"null"
"66"	"＋＋"	"3"	"防音室 中古 大阪"	"null"	"null"	"null"	"null"	"null"
