# ----------------------------------------
# 防音Lab
# bouon-weekly-report-1week_analysis
# 20260613-20260620
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック
ページ タイトル,ランディング ページ + クエリ文字列,新規 / 既存,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,直帰率
,,,40,40,59,20.35185185185185,0.5740740740740741,31,31,46,20.488888888888887,0.5333333333333333,18,18,26,24.464285714285715,0.5357142857142857,9,9,13,19.666666666666668,0.7777777777777778,総計
ベーストラップ設置ガイド｜低音こもりを解消する配置・DIY・測定の全手順 | 防音Lab,/ja/diy/bass-trap-installation-guide/,new,7,7,13,6.846153846153846,0.6923076923076923,4,4,10,7.3,0.6,6,6,12,7.416666666666667,0.6666666666666666,3,3,3,5.333333333333333,1
2025-2026年騒音規制アップデート｜隣人の騒音に「法的エビデンス」で勝つための数値基準と対策 | 防音Lab,/ja/knowledge/noise-regulation-update-2025/,new,7,7,9,25.285714285714285,0.2857142857142857,7,7,9,25.285714285714285,0.2857142857142857,3,3,4,30,0.3333333333333333,0,0,0,0,0
あなたの環境に合わせた防音ガイド | 防音Lab,/ja/,new,7,7,9,19.857142857142858,0.7142857142857143,5,5,5,3.8,0.8,0,0,0,0,0,2,2,4,60,0.5
【2026完全版】防音賃貸・防音マンション完全ガイド｜全国相場・D値・ブランド・選び方を総まとめ | 防音Lab,/ja/soundproof-rental/bouon-rental-market-guide/,new,2,2,4,5,0.3333333333333333,2,2,4,5,0.3333333333333333,1,1,1,9,0,0,0,0,0,0
防音室｜記事一覧 | 防音Lab,/ja/,new,2,2,2,12,0,1,1,1,16,0,0,0,0,0,0,1,1,1,8,0
"Bass Trap Installation Guide | Complete Procedure for Eliminating Low-Frequency Muffled Sound: Placement, DIY, and Measurement | Soundproofing Lab",/ja/diy/bass-trap-installation-guide/,new,1,1,0,21,0,1,1,0,21,0,1,1,0,21,0,0,0,0,0,0
【2026完全版】防音賃貸・防音マンション完全ガイド｜全国相場・D値・ブランド・選び方を総まとめ | 防音Lab,(not set),new,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0
【2026最新】防音室おすすめ比較｜失敗しない選び方と5年後の売却価格（ROI）を分析 | 防音Lab,/ja/soundproof-room/bouon-osusume-hikaku/,new,1,1,1,89,1,1,1,1,89,1,1,1,1,89,1,0,0,0,0,0
