国,クリック数,表示回数,CTR,掲載順位
日本,219,4885,4.48%,21.58
米国,6,2281,0.26%,11.4
ブラジル,2,240,0.83%,7.37
マレーシア,2,28,7.14%,7.36
フランス,1,89,1.12%,6.39
タイ,1,23,4.35%,6.57
シンガポール,1,23,4.35%,7.26
ポルトガル,1,21,4.76%,7.76
カナダ,0,152,0%,6.9
イギリス,0,117,0%,13.69
インド,0,84,0%,7.76
ベトナム,0,73,0%,8.49
韓国,0,70,0%,6.09
中国,0,69,0%,5.26
メキシコ,0,68,0%,8.85
スペイン,0,67,0%,6.16
アルゼンチン,0,51,0%,6.47
オーストラリア,0,51,0%,10
イタリア,0,47,0%,7.15
インドネシア,0,46,0%,8.33
ドイツ,0,45,0%,9.29
コロンビア,0,40,0%,7.97
フィリピン,0,34,0%,5.94
ロシア,0,30,0%,7.07
トルコ,0,30,0%,9.6
香港,0,28,0%,9.18
イラン,0,26,0%,5.69
南アフリカ,0,26,0%,63.62
エクアドル,0,23,0%,4.57
イラク,0,22,0%,6.91
バングラディッシュ,0,22,0%,7.36
オランダ,0,20,0%,8.75
ポーランド,0,19,0%,7.16
ベネズエラ,0,19,0%,7.26
イスラエル,0,19,0%,8.37
スイス連邦,0,18,0%,4.78
チリ,0,18,0%,8.56
台湾,0,17,0%,10.53
スウェーデン,0,16,0%,5.94
ドミニカ,0,15,0%,6.53
パキスタン,0,14,0%,8.07
サウジアラビア,0,14,0%,10.14
アラブ首長国連邦,0,13,0%,6.54
ノルウェー,0,13,0%,8.08
ウクライナ,0,13,0%,10.54
チェキア,0,12,0%,6.83
ベルギー,0,12,0%,7
ペルー,0,12,0%,12.08
ハンガリー,0,11,0%,5.55
ベラルーシ,0,11,0%,6.73
セルビア,0,10,0%,6.2
ケニア,0,10,0%,7.1
ギリシャ,0,10,0%,7.5
ルーマニア,0,9,0%,5.33
パラグアイ,0,9,0%,6.67
アルジェリア,0,9,0%,16.78
パナマ,0,8,0%,7.88
ヨルダン,0,8,0%,16.62
モロッコ,0,7,0%,5.57
フィンランド,0,6,0%,6.33
パレスチナ,0,6,0%,7.33
オーストリア,0,6,0%,8.17
アイルランド,0,6,0%,12.17
スリランカ,0,6,0%,14.67
ウルグアイ,0,5,0%,3.6
ラトビア,0,5,0%,4.4
アゼルバイジャン,0,5,0%,4.8
エジプト,0,5,0%,5
ブルガリア,0,5,0%,9.6
スロバキア,0,5,0%,9.6
ボスニア・ヘルツェゴビナ,0,5,0%,12.8
クロアチア,0,4,0%,6.25
ジャマイカ,0,4,0%,6.5
カザフスタン,0,4,0%,6.5
マケドニア,0,4,0%,7.75
スロベニア,0,4,0%,8.25
セネガル,0,4,0%,12.25
エチオピア,0,4,0%,13.25
アルバニア,0,3,0%,3.33
プエルトリコ,0,3,0%,4
ナイジェリア,0,3,0%,4.33
アンドラ,0,3,0%,4.67
モンゴル,0,3,0%,4.67
ネパール,0,3,0%,5
グルジア,0,3,0%,5.33
グァテマラ,0,3,0%,5.33
ベリーズ,0,3,0%,7.67
カタール,0,3,0%,7.67
コスタリカ,0,3,0%,8.33
カンボジア,0,3,0%,14.33
チュニジア,0,3,0%,14.33
リトアニア,0,2,0%,3.5
ボリビア,0,2,0%,5
デンマーク,0,2,0%,5.5
レバノン,0,2,0%,6
ガーナ,0,2,0%,6.5
トリニダード・トバゴ,0,2,0%,7
バルバドス,0,2,0%,8
バハマ,0,2,0%,8.5
ウズベキスタン,0,2,0%,8.5
キプロス,0,2,0%,9
コソボ,0,2,0%,9.5
モルドバ,0,2,0%,11
バーレーン,0,2,0%,12
マリ,0,2,0%,15
コートジボワール,0,2,0%,16
クウェート,0,2,0%,18
モーリシャス,0,2,0%,35
ジブラルタル,0,1,0%,1
ミャンマー（ビルマ）,0,1,0%,1
ブルキナファソ,0,1,0%,2
中央アフリカ,0,1,0%,2
マルタ,0,1,0%,2
不明な地域,0,1,0%,2
アルメニア,0,1,0%,3
蘭領カリブ,0,1,0%,3
リビア,0,1,0%,3
ガーンジー,0,1,0%,5
マカオ,0,1,0%,5
ニュージーランド,0,1,0%,5
エリトリア,0,1,0%,6
スーダン,0,1,0%,6
アフガニスタン,0,1,0%,7
モナコ,0,1,0%,7
シント・マールテン,0,1,0%,7
トルクメニスタン,0,1,0%,7
イエメン,0,1,0%,7
ガイアナ,0,1,0%,8
ザンビア,0,1,0%,8
エストニア,0,1,0%,10
キルギス,0,1,0%,10
エルサルバドル,0,1,0%,10
モルディブ,0,1,0%,11
ジンバブエ,0,1,0%,21
オマーン,0,1,0%,47
