国,クリック数,表示回数,CTR,掲載順位
日本,597,18063,3.31%,16.24
米国,18,23560,0.08%,7.69
イギリス,4,676,0.59%,11.38
ドイツ,4,123,3.25%,8.93
インドネシア,3,246,1.22%,7.42
シンガポール,3,133,2.26%,17.42
カナダ,2,256,0.78%,8.78
タイ,2,97,2.06%,12.31
サウジアラビア,2,37,5.41%,11.49
香港,2,35,5.71%,7.8
韓国,1,482,0.21%,6.24
インド,1,403,0.25%,10.26
フィリピン,1,200,0.5%,11.26
メキシコ,1,105,0.95%,6.18
台湾,1,72,1.39%,6.92
ロシア,1,32,3.12%,7.91
デンマーク,1,26,3.85%,6.77
ノルウェー,1,25,4%,8.24
スイス連邦,1,22,4.55%,8.27
カザフスタン,1,13,7.69%,10.23
ルワンダ,1,5,20%,6
ブラジル,0,451,0%,6.96
フランス,0,186,0%,6.05
スペイン,0,178,0%,9.19
イタリア,0,134,0%,11.41
アルゼンチン,0,122,0%,6.66
ベトナム,0,118,0%,9.02
マレーシア,0,115,0%,10.67
オランダ,0,111,0%,6.91
バングラディッシュ,0,98,0%,6.98
トルコ,0,98,0%,8.64
オーストラリア,0,94,0%,12.72
コロンビア,0,75,0%,7.39
エクアドル,0,68,0%,9.06
ペルー,0,60,0%,5.82
中国,0,60,0%,6.07
ポルトガル,0,56,0%,7.98
ポーランド,0,52,0%,7.6
ベルギー,0,46,0%,6.87
チリ,0,44,0%,7.75
パキスタン,0,38,0%,10.37
ハンガリー,0,37,0%,6.81
ルーマニア,0,36,0%,8.47
エジプト,0,35,0%,14.63
アルジェリア,0,33,0%,13.52
イラク,0,32,0%,10.66
南アフリカ,0,32,0%,20.03
アラブ首長国連邦,0,31,0%,6.1
ウクライナ,0,30,0%,5.97
ギリシャ,0,29,0%,5.59
アイルランド,0,28,0%,8.57
モロッコ,0,27,0%,7.89
スウェーデン,0,27,0%,8
イスラエル,0,27,0%,9.48
フィンランド,0,26,0%,6.46
オーストリア,0,23,0%,8.39
ドミニカ,0,21,0%,7.62
ベネズエラ,0,20,0%,9.15
チェキア,0,19,0%,7.74
ネパール,0,18,0%,10.72
トリニダード・トバゴ,0,18,0%,14.5
クロアチア,0,16,0%,7.5
ケニア,0,16,0%,9.62
セルビア,0,16,0%,11.62
ジャマイカ,0,15,0%,7.73
ブルガリア,0,15,0%,7.93
スロバキア,0,15,0%,9.4
ニュージーランド,0,15,0%,9.8
ヨルダン,0,14,0%,4.57
アルメニア,0,13,0%,9.15
ナイジェリア,0,12,0%,9.75
バルバドス,0,11,0%,4.55
スリランカ,0,11,0%,8.27
カンボジア,0,11,0%,10.82
リトアニア,0,10,0%,5.5
セイシェル,0,10,0%,5.9
チュニジア,0,10,0%,7.3
カタール,0,10,0%,7.8
パラグアイ,0,10,0%,12.6
コスタリカ,0,9,0%,4.56
ウルグアイ,0,9,0%,5.89
ホンジュラス,0,9,0%,6.33
イラン,0,9,0%,6.33
パナマ,0,9,0%,7.78
アルバニア,0,8,0%,5
パレスチナ,0,8,0%,6.25
グァテマラ,0,8,0%,6.38
バハマ,0,8,0%,9
ウズベキスタン,0,8,0%,14.25
ラトビア,0,7,0%,4.29
グルジア,0,7,0%,5.29
エストニア,0,7,0%,8.29
プエルトリコ,0,7,0%,9.86
オマーン,0,7,0%,14.29
キプロス,0,7,0%,19
アゼルバイジャン,0,6,0%,5.67
スロベニア,0,6,0%,6.17
キルギス,0,6,0%,11.67
クウェート,0,6,0%,14.33
レバノン,0,6,0%,14.33
ボリビア,0,5,0%,6
ボスニア・ヘルツェゴビナ,0,5,0%,7
ベラルーシ,0,5,0%,7.2
マルタ,0,5,0%,7.6
モルドバ,0,5,0%,8.4
ガイアナ,0,5,0%,12.4
エチオピア,0,4,0%,3.75
セネガル,0,4,0%,4
モンテネグロ,0,4,0%,4.75
ガーナ,0,4,0%,7
モンゴル,0,4,0%,10
ラオス,0,3,0%,3.67
マケドニア,0,3,0%,4
シリア,0,3,0%,5
リビア,0,3,0%,5.67
不明な地域,0,3,0%,5.67
アイスランド,0,3,0%,6
コソボ,0,3,0%,6.33
モルディブ,0,3,0%,6.67
ルクセンブルグ,0,3,0%,9.33
エルサルバドル,0,2,0%,2.5
ブルネイ,0,2,0%,3.5
イエメン,0,2,0%,4
ミャンマー（ビルマ）,0,2,0%,5
ベリーズ,0,2,0%,5.5
ハイチ,0,2,0%,5.5
グアム,0,2,0%,6.5
ウガンダ,0,2,0%,6.5
バーレーン,0,2,0%,7
マダガスカル,0,2,0%,7
ニカラグア,0,2,0%,7
タークス・カイコス諸島,0,2,0%,13.5
グレナダ,0,2,0%,30.5
セントルシア,0,1,0%,2
タジキスタン,0,1,0%,2
米領バージン諸島,0,1,0%,3
アルバ,0,1,0%,4
バミューダ,0,1,0%,4
英領バージン諸島,0,1,0%,4
アンギラ,0,1,0%,5
ブルキナファソ,0,1,0%,5
モーリシャス,0,1,0%,5
シェラレオネ,0,1,0%,5
カボベルデ,0,1,0%,6
キュラソー,0,1,0%,6
ジャージー,0,1,0%,6
ジンバブエ,0,1,0%,6
セントクリストファー・ネイビス,0,1,0%,8
レユニオン,0,1,0%,8
ボツワナ,0,1,0%,10
キリバス,0,1,0%,10
モザンビーク,0,1,0%,11
クック諸島,0,1,0%,12
トーゴ,0,1,0%,16
トルクメニスタン,0,1,0%,16
アンゴラ,0,1,0%,18
コンゴ民主共和国 - キンシャサ,0,1,0%,18
