国,クリック数,表示回数,CTR,掲載順位
日本,124,2296,5.4%,20.81
米国,3,1197,0.25%,11.91
ブラジル,1,101,0.99%,7.46
フランス,1,31,3.23%,8.35
タイ,1,14,7.14%,7.71
シンガポール,1,12,8.33%,5.08
ポルトガル,1,8,12.5%,6.12
カナダ,0,100,0%,6.92
ベトナム,0,50,0%,9.12
韓国,0,46,0%,6.11
インド,0,46,0%,8.78
メキシコ,0,44,0%,8.77
中国,0,42,0%,5.55
イギリス,0,37,0%,7.59
アルゼンチン,0,27,0%,7.41
オーストラリア,0,27,0%,12.44
インドネシア,0,25,0%,10.12
スペイン,0,23,0%,6.83
イタリア,0,22,0%,7.5
ロシア,0,21,0%,7.86
ドイツ,0,21,0%,8.48
イラク,0,20,0%,7.05
南アフリカ,0,19,0%,66
コロンビア,0,18,0%,9.33
香港,0,18,0%,11.06
トルコ,0,15,0%,9.07
イラン,0,14,0%,5.43
バングラディッシュ,0,14,0%,8.14
ベネズエラ,0,13,0%,7
サウジアラビア,0,12,0%,8.25
イスラエル,0,11,0%,3.64
フィリピン,0,11,0%,5.45
マレーシア,0,11,0%,7
パキスタン,0,10,0%,7.9
チリ,0,10,0%,11.3
台湾,0,10,0%,14
アラブ首長国連邦,0,9,0%,7.11
ウクライナ,0,8,0%,11.62
ヨルダン,0,8,0%,16.62
オランダ,0,7,0%,5.71
ポーランド,0,7,0%,6
モロッコ,0,6,0%,5.5
ベラルーシ,0,6,0%,6.5
パラグアイ,0,6,0%,6.83
パナマ,0,6,0%,8
ドミニカ,0,6,0%,8.17
ベルギー,0,6,0%,9
アルジェリア,0,6,0%,11.83
スイス連邦,0,5,0%,5
エジプト,0,5,0%,5
エクアドル,0,5,0%,5.4
アゼルバイジャン,0,4,0%,3.75
スウェーデン,0,4,0%,3.75
ケニア,0,4,0%,6.75
チェキア,0,4,0%,7.25
ハンガリー,0,4,0%,8.25
ノルウェー,0,4,0%,8.75
パレスチナ,0,4,0%,8.75
セルビア,0,4,0%,10.25
エチオピア,0,4,0%,13.25
ペルー,0,4,0%,27
ルーマニア,0,3,0%,5.67
オーストリア,0,3,0%,7.33
マケドニア,0,3,0%,8
スロバキア,0,3,0%,11.67
セネガル,0,3,0%,12.67
カンボジア,0,3,0%,14.33
チュニジア,0,3,0%,14.33
アイルランド,0,3,0%,20.33
グァテマラ,0,2,0%,3
ウルグアイ,0,2,0%,4.5
アンドラ,0,2,0%,5
グルジア,0,2,0%,6
ジャマイカ,0,2,0%,6.5
カタール,0,2,0%,7
スリランカ,0,2,0%,7.5
ボスニア・ヘルツェゴビナ,0,2,0%,8.5
クロアチア,0,2,0%,9.5
カザフスタン,0,2,0%,9.5
ギリシャ,0,2,0%,10.5
ブルガリア,0,2,0%,11.5
マリ,0,2,0%,15
コートジボワール,0,2,0%,16
クウェート,0,2,0%,18
ジブラルタル,0,1,0%,1
ラトビア,0,1,0%,1
ミャンマー（ビルマ）,0,1,0%,1
ナイジェリア,0,1,0%,1
プエルトリコ,0,1,0%,1
ブルキナファソ,0,1,0%,2
レバノン,0,1,0%,2
マルタ,0,1,0%,2
モーリシャス,0,1,0%,2
ガーナ,0,1,0%,3
リビア,0,1,0%,3
リトアニア,0,1,0%,4
ガーンジー,0,1,0%,5
マカオ,0,1,0%,5
ニュージーランド,0,1,0%,5
バルバドス,0,1,0%,6
アフガニスタン,0,1,0%,7
ボリビア,0,1,0%,7
キプロス,0,1,0%,7
モルドバ,0,1,0%,7
トルクメニスタン,0,1,0%,7
イエメン,0,1,0%,7
ベリーズ,0,1,0%,8
コソボ,0,1,0%,8
ザンビア,0,1,0%,8
モンゴル,0,1,0%,9
ネパール,0,1,0%,9
ウズベキスタン,0,1,0%,9
エストニア,0,1,0%,10
キルギス,0,1,0%,10
スロベニア,0,1,0%,10
バハマ,0,1,0%,11
モルディブ,0,1,0%,11
コスタリカ,0,1,0%,15
バーレーン,0,1,0%,16
オマーン,0,1,0%,47
