日付,クリック数,表示回数,CTR,掲載順位
2026-03-22,6,299,2.01%,18.3
2026-03-23,5,238,2.1%,14.2
2026-03-24,6,189,3.17%,12.8
2026-03-25,6,209,2.87%,16.7
2026-03-26,7,220,3.18%,23.3
2026-03-27,5,150,3.33%,13.6
2026-03-28,10,200,5%,15.3
2026-03-29,4,140,2.86%,15.5
2026-03-30,4,180,2.22%,14.8
2026-03-31,3,124,2.42%,12.9
2026-04-01,2,72,2.78%,9.9
2026-04-02,2,157,1.27%,19.2
2026-04-03,1,104,0.96%,7.5
2026-04-04,1,93,1.08%,10.1
2026-04-05,0,106,0%,14.1
2026-04-06,2,73,2.74%,13
2026-04-07,4,52,7.69%,11.2
2026-04-08,4,55,7.27%,9
2026-04-09,2,67,2.99%,22.6
2026-04-10,2,44,4.55%,10.7
2026-04-11,2,53,3.77%,14.4
2026-04-12,0,49,0%,17
2026-04-13,1,16,6.25%,14
2026-04-14,2,46,4.35%,15.2
2026-04-15,1,45,2.22%,15.1
2026-04-16,0,35,0%,30.6
2026-04-17,1,20,5%,12.8
2026-04-18,2,39,5.13%,12.9
2026-04-19,0,32,0%,18.2
2026-04-20,2,34,5.88%,15.3
2026-04-21,0,25,0%,17.3
2026-04-22,0,23,0%,24
2026-04-23,1,45,2.22%,26.3
2026-04-24,0,16,0%,14.2
2026-04-25,3,27,11.11%,8.9
2026-04-26,0,34,0%,19.5
2026-04-27,2,20,10%,17.6
2026-04-28,0,38,0%,22.8
2026-04-29,1,75,1.33%,11.8
2026-04-30,3,79,3.8%,11.3
2026-05-01,0,46,0%,11
2026-05-02,0,34,0%,9.9
2026-05-03,1,29,3.45%,11.7
2026-05-04,2,37,5.41%,16.1
2026-05-05,1,39,2.56%,16.5
2026-05-06,0,31,0%,12.1
2026-05-07,1,51,1.96%,22.4
2026-05-08,0,50,0%,9.1
2026-05-09,2,52,3.85%,10
2026-05-10,1,48,2.08%,7.4
2026-05-11,1,45,2.22%,20.9
2026-05-12,1,22,4.55%,10.2
2026-05-13,1,19,5.26%,10.6
2026-05-14,2,32,6.25%,25.1
2026-05-15,0,16,0%,17.5
2026-05-16,0,12,0%,23
2026-05-17,0,28,0%,18.7
2026-05-18,3,20,15%,21.4
2026-05-19,0,16,0%,21.2
2026-05-20,1,16,6.25%,23.6
2026-05-21,1,29,3.45%,32.5
2026-05-22,0,16,0%,13.8
2026-05-23,0,16,0%,20.2
2026-05-24,0,9,0%,18.1
2026-05-25,2,14,14.29%,19.9
2026-05-26,2,13,15.38%,28.6
2026-05-27,1,17,5.88%,20.7
2026-05-28,0,12,0%,37
2026-05-29,0,14,0%,10.4
2026-05-30,0,20,0%,11.2
2026-05-31,0,20,0%,10.8
2026-06-01,0,12,0%,15.9
2026-06-02,1,8,12.5%,29.8
2026-06-03,0,10,0%,13.9
2026-06-04,2,12,16.67%,20.2
2026-06-05,0,14,0%,10.9
2026-06-06,0,17,0%,11.1
2026-06-07,1,15,6.67%,7.6
2026-06-08,0,15,0%,18.1
2026-06-09,0,14,0%,20.9
2026-06-10,2,12,16.67%,16.9
2026-06-11,1,10,10%,12.2
2026-06-12,0,15,0%,13.8
2026-06-13,0,6,0%,30.7
2026-06-14,0,11,0%,23.2
2026-06-15,1,5,20%,10.2
2026-06-16,2,14,14.29%,28.4
2026-06-17,0,11,0%,18.9
2026-06-18,0,17,0%,13.4
2026-06-19,1,8,12.5%,13
2026-06-20,1,6,16.67%,17.3
2026-06-21,0,44,0%,4.6
